Timestamp,Gender,Programme,What would be your favorite scent to have on your freshly-washed clothes?,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","What would you want as a Loyalty Reward?
(Rewards for repeat-customers)","Would you like a subscription-based service?
[Benefits may include: Priority Queue, Wider Selection on ""Scent Customization"", etc.]"
29/10/2023 16:57:00,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
29/10/2023 16:57:50,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
29/10/2023 16:59:39,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
30/10/2023 09:01:59,Female,,,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",,
31/10/2023 07:21:26,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:26:57,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:29:32,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 07:34:01,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 07:34:22,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 07:34:46,Female,Foundation in Law (PI005/PI007),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 07:35:12,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 07:36:35,Male,Foundation in Law (PI005/PI007),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 08:02:08,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 10:36:33,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:51:33,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:56:23,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 10:58:24,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 11:00:48,Female,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:00:11,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:02:45,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:48:14,Female,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:51:01,Female,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:51:34,Female,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 12:52:10,Female,Foundation in Law (PI005/PI007),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 12:55:33,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 13:11:48,Female,Foundation in Science (PI080),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 13:12:42,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 13:15:50,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:22:53,Female,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:24:46,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:25:38,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:28:36,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:33:51,Female,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:37:06,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:38:25,Male,Foundation in Engineering (PI009),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:39:20,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
31/10/2023 14:42:13,Female,Foundation in TESL (PI020),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:43:03,Male,Foundation in Engineering (PI009),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:46:40,Male,Foundation in Science (PI080),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:47:50,Male,Foundation in Science (PI080),Fresh Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Door-to-Door Clothes Delivery Service,Yes
31/10/2023 14:47:56,Male,Foundation in Science (PI080),Oceanic Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",No
31/10/2023 14:49:56,Male,Foundation in Law (PI005/PI007),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,Yes
31/10/2023 14:50:30,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:51:46,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","Free ""Suds n' Sparkle"" exclusive Laundry Bag",Yes
31/10/2023 14:52:58,Male,Foundation in Engineering (PI009),Floral Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Washing Service,Yes
31/10/2023 14:56:48,Male,Foundation in Engineering (PI009),Fruity Scent,"How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)",Free Drying Service,No
