"Timestamp","Gender","Programme","What would be your favorite scent to have on your freshly-washed clothes?","How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","What would you want as a Loyalty Reward?
(Rewards for repeat-customers)","Would you like a subscription-based service?
[Benefits may include: Priority Queue, Wider Selection on ""Scent Customization"", etc.]"
"2023/10/29 4:56:59 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","No"
"2023/10/29 4:57:49 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/29 4:59:39 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","6","Free Drying Service","Yes"
"2023/10/31 7:21:25 AM GMT+8","Male","Foundation in Law (PI005/PI007)","Floral Scent","Rm 5.00","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:26:57 AM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:29:32 AM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","RM6.00","Free Drying Service","Yes"
"2023/10/31 7:34:00 AM GMT+8","Female","Foundation in Law (PI005/PI007)","Floral Scent","RM5.00","Free Washing Service","Yes"
"2023/10/31 7:34:22 AM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","RM4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:34:45 AM GMT+8","Female","Foundation in Law (PI005/PI007)","Fruity Scent","4","Free Washing Service","Yes"
"2023/10/31 7:35:11 AM GMT+8","Female","Foundation in TESL (PI020)","Fresh Scent","RM5","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 7:36:35 AM GMT+8","Male","Foundation in Law (PI005/PI007)","Oceanic Scent","RM4.00","Free Drying Service","Yes"
"2023/10/31 8:02:08 AM GMT+8","Male","Foundation in Science (PI080)","Fresh Scent","RM 5","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 10:36:33 AM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","RM 5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 10:51:33 AM GMT+8","Female","Foundation in Engineering (PI009)","Fresh Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 10:58:23 AM GMT+8","Female","Foundation in Engineering (PI009)","Fresh Scent","RM5","Free Drying Service","Yes"
"2023/10/31 11:00:48 AM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","RM 6","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 12:00:11 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 12:02:45 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","rm 4","Free Drying Service","Yes"
"2023/10/31 12:48:14 PM GMT+8","Female","Foundation in Engineering (PI009)","Fruity Scent","RM 4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 12:51:00 PM GMT+8","Female","Foundation in Law (PI005/PI007)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 12:51:34 PM GMT+8","Female","Foundation in Engineering (PI009)","Fresh Scent","RM 5.00","Free Drying Service","Yes"
"2023/10/31 12:52:10 PM GMT+8","Female","Foundation in Law (PI005/PI007)","Fresh Scent","RM 5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 12:55:32 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Floral Scent","RM 4","Free Washing Service","Yes"
"2023/10/31 1:11:47 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","4","Free Drying Service","Yes"
"2023/10/31 1:12:41 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","RM6","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 1:15:49 PM GMT+8","Female","Foundation in TESL (PI020)","Fresh Scent","rm 5.00","Free Washing Service","Yes"
"2023/10/31 2:22:52 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 2:24:46 PM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","RM5.00","Free Drying Service","Yes"
"2023/10/31 2:25:38 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","4.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 2:28:35 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free Drying Service","Yes"
"2023/10/31 2:33:51 PM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 2:37:06 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","RM5 ","Free Drying Service","Yes"
"2023/10/31 2:38:25 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","RM5","Free Drying Service","Yes"
"2023/10/31 2:39:20 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","RM 7","Free ""Suds n' Sparkle"" exclusive Laundry Bag","No"
"2023/10/31 2:42:12 PM GMT+8","Female","Foundation in TESL (PI020)","Fresh Scent","5rm","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 2:43:02 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","RM4.00","Free Washing Service","Yes"
"2023/10/31 2:46:39 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","7","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 2:47:49 PM GMT+8","Male","Foundation in Science (PI080)","Fresh Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 2:47:56 PM GMT+8","Male","Foundation in Science (PI080)","Oceanic Scent","5","Free ""Suds n' Sparkle"" exclusive Laundry Bag","No"
"2023/10/31 2:49:56 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Floral Scent","4","Free Drying Service","Yes"
"2023/10/31 2:50:29 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","Rm5","Free Washing Service","Yes"
"2023/10/31 2:51:45 PM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 2:52:58 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free Washing Service","Yes"
"2023/10/31 2:56:48 PM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","RM4","Free Drying Service","No"
"2023/10/31 2:57:39 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 2:57:59 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 2:59:15 PM GMT+8","Female","Foundation in Engineering (PI009)","Fresh Scent","8","Free Drying Service","Yes"
"2023/10/31 3:04:41 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Fruity Scent","RM4.00","Free Washing Service","Yes"
"2023/10/31 3:05:02 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","RM4.00","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 3:18:10 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","RM5. 00","Free Drying Service","Yes"
"2023/10/31 3:23:21 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 3:33:13 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","4.00","Free Drying Service","Yes"
"2023/10/31 3:40:16 PM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","RM5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 3:50:39 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","6","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 4:01:59 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 4:10:52 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 4:18:40 PM GMT+8","Male","Foundation in Science (PI080)","Fresh Scent","4","Free Drying Service","Yes"
"2023/10/31 4:20:50 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","RM4.00","Free Drying Service","Yes"
"2023/10/31 4:40:28 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","RM 4","Free Drying Service","Yes"
"2023/10/31 6:09:56 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","Rm 4","Free Washing Service","Yes"
"2023/10/31 6:52:41 PM GMT+8","Female","Foundation in TESL (PI020)","Fresh Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:35:09 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:49:16 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","6","Free Drying Service","Yes"
